RecordType,CompanyName,ShortName,LegalType,OrgNumber,VATNumber,Industry,MainWebsite,TenantSuggested,PrimaryDomain,DefaultLanguage,Country,Currency,Timezone,HQSiteCode,BranchSiteCode,PrimaryContactEmail,SecurityContactEmail,SupportEmail,HelpdeskEmail,FinanceEmail,HREmail,Department,Description,PrimarySite,CostCenter,DepartmentPhone,DistributionEmail,SharedMailbox,M365Group,PrimarySecurityGroup,DefaultExternalSharing,DataSensitivity,LocationName,Street,PostalCode,City,Region,MainPhone,ReceptionEmail
Company,Sam Medsyn Lab Company AB,SMLC,Aktiebolag (AB),559382-1047,SE559382104701,Medical imaging IT support and field services,https://www.sammedsynlab.com,smlcmedsyn.onmicrosoft.com,sammedsynlab.com,English,Sweden,SEK,Europe/Stockholm,SMLC-HQ,SMLC-BR,info@sammedsynlab.com,security@sammedsynlab.com,support@sammedsynlab.com,helpdesk@sammedsynlab.com,finance@sammedsynlab.com,hr@sammedsynlab.com,,,,,,,,,,,,,,,,,,
Department,Sam Medsyn Lab Company AB,,,,,,,,,,,,,,,,,,,,,MgmtAdmin,"Management, administration, HR",HQ,ADM-100,+46 8 555 21 32,management@sammedsynlab.com,info@sammedsynlab.com,SMLC-MgmtAdmin,SG-SMLC-HR-Private,Restricted,High,,,,,,,
Department,Sam Medsyn Lab Company AB,,,,,,,,,,,,,,,,,,,,,ITInfra,"IT, network, systems and security",HQ,IT-100,+46 8 555 22 33,it@sammedsynlab.com,itsupport@sammedsynlab.com,SMLC-ITInfra,SG-SMLC-ITInfra-Private,Restricted,High,,,,,,,
Department,Sam Medsyn Lab Company AB,,,,,,,,,,,,,,,,,,,,,TechOps,Technical support and field support,HQ/BR,TOPS-100,+46 8 555 23 34,support@sammedsynlab.com,support@sammedsynlab.com,SMLC-TechOps,SG-SMLC-TechOps-Tools,Restricted,Internal,,,,,,,
Department,Sam Medsyn Lab Company AB,,,,,,,,,,,,,,,,,,,,,BizOps,"Sales, marketing and customer service",HQ/BR,BIZ-100,+46 8 555 24 35,sales@sammedsynlab.com,sales@sammedsynlab.com,SMLC-BizOps,SG-SMLC-HQ-Staff,Restricted,Internal,,,,,,,
Department,Sam Medsyn Lab Company AB,,,,,,,,,,,,,,,,,,,,,Finance,"Accounting, payroll and invoices",HQ,FIN-100,+46 8 555 25 36,finance@sammedsynlab.com,finance@sammedsynlab.com,SMLC-Finance,SG-SMLC-Finance-Private,Restricted,High,,,,,,,
Department,Sam Medsyn Lab Company AB,,,,,,,,,,,,,,,,,,,,,FieldOps,Branch field engineers,BR,FLD-100,+46 40 555 26 43,branch@sammedsynlab.com,support@sammedsynlab.com,SMLC-FieldOps,SG-SMLC-FieldOps-RemoteAccess,Restricted,Internal,,,,,,,
Department,Sam Medsyn Lab Company AB,,,,,,,,,,,,,,,,,,,,,Support,Branch support desk,BR,SUP-100,+46 40 555 27 44,support@sammedsynlab.com,helpdesk@sammedsynlab.com,SMLC-Support,SG-SMLC-TechOps-Tools,Restricted,Internal,,,,,,,
Location,Sam Medsyn Lab Company AB,,,,,,,,,,Sweden,,,,,,,,,,,,Headquarters,SMLC-HQ,SITE,+46 8 555 0100,info@sammedsynlab.com,,SMLC-HQ-Staff,SG-SMLC-HQ-Staff,Limited,Internal,Headquarters,Radiovägen 12,131 54,Nacka,Stockholm County,+46 8 555 0100,info@sammedsynlab.com
Location,Sam Medsyn Lab Company AB,,,,,,,,,,Sweden,,,,,,,,,,,,Branch Office,SMLC-BR,SITE,+46 40 555 0200,branch@sammedsynlab.com,,SMLC-BR-Staff,SG-SMLC-BR-Staff,Limited,Internal,Branch Office,Medicinteknikgatan 7,211 20,Malmö,Skåne County,+46 40 555 0200,branch@sammedsynlab.com
