"DistributionList","Address","PlannedMembers","MembersAdded","MembersSkipped","SensitiveListRestricted","Status","Error"
"All Staff","allstaff@samstack.onmicrosoft.com","48","0","32","True","Created",""
"Management","management@samstack.onmicrosoft.com","7","0","0","True","Created",""
"HR","hr-team@samstack.onmicrosoft.com","2","0","0","True","Created",""
"Finance","finance-team@samstack.onmicrosoft.com","3","0","0","True","Created",""
"Sales","sales-team@samstack.onmicrosoft.com","7","0","7","False","Created",""
"Support","support-team@samstack.onmicrosoft.com","21","0","21","False","Created",""
"SMLC Help Desk Team","helpdesk-team@samstack.onmicrosoft.com","3","0","3","False","Created",""
"IT","it@samstack.onmicrosoft.com","6","0","0","False","Created",""
"Security","security-team@samstack.onmicrosoft.com","2","0","0","True","Created",""
"Branch Staff","branch@samstack.onmicrosoft.com","11","0","11","False","Created",""
