"Site","Folder","Status","Error","Method"
"SMLC-HQ","Announcements","Created","","Browser console, SharePoint REST API"
"SMLC-HQ","Company Policies","Created","","Browser console, SharePoint REST API"
"SMLC-HQ","Templates","Created","","Browser console, SharePoint REST API"
"SMLC-HQ","Forms","Created","","Browser console, SharePoint REST API"
"SMLC-HQ","General Documents","Created","","Browser console, SharePoint REST API"
"SMLC-Branch","Branch Operations","Created","","Browser console, SharePoint REST API"
"SMLC-Branch","Field Visits","Created","","Browser console, SharePoint REST API"
"SMLC-Branch","Customer Notes","Created","","Browser console, SharePoint REST API"
"SMLC-Branch","Branch Reports","Created","","Browser console, SharePoint REST API"
"SMLC-Branch","Local Procedures","Created","","Browser console, SharePoint REST API"
"SMLC-MgmtAdmin","HR Records","Created","","Browser console, SharePoint REST API"
"SMLC-MgmtAdmin","Employee Documents","Created","","Browser console, SharePoint REST API"
"SMLC-MgmtAdmin","Contracts","Created","","Browser console, SharePoint REST API"
"SMLC-MgmtAdmin","Internal Policies","Created","","Browser console, SharePoint REST API"
"SMLC-MgmtAdmin","Management Reports","Created","","Browser console, SharePoint REST API"
"SMLC-ITInfra","Network Documentation","Created","","Browser console, SharePoint REST API"
"SMLC-ITInfra","Firewall Rules","Created","","Browser console, SharePoint REST API"
"SMLC-ITInfra","Microsoft 365 Admin","Created","","Browser console, SharePoint REST API"
"SMLC-ITInfra","Server Documentation","Created","","Browser console, SharePoint REST API"
"SMLC-ITInfra","Backup Records","Created","","Browser console, SharePoint REST API"
"SMLC-ITInfra","Security Incidents","Created","","Browser console, SharePoint REST API"
"SMLC-ITInfra","Change Logs","Created","","Browser console, SharePoint REST API"
"SMLC-TechOps","Support Procedures","Created","","Browser console, SharePoint REST API"
"SMLC-TechOps","Software Packages","Created","","Browser console, SharePoint REST API"
"SMLC-TechOps","Customer Notes","Created","","Browser console, SharePoint REST API"
"SMLC-TechOps","Field Reports","Created","","Browser console, SharePoint REST API"
"SMLC-TechOps","Troubleshooting Guides","Created","","Browser console, SharePoint REST API"
"SMLC-TechOps","Escalations","Created","","Browser console, SharePoint REST API"
"SMLC-BizOps","Sales Leads","Created","","Browser console, SharePoint REST API"
"SMLC-BizOps","Marketing","Created","","Browser console, SharePoint REST API"
"SMLC-BizOps","Customer Requests","Created","","Browser console, SharePoint REST API"
"SMLC-BizOps","Reports","Created","","Browser console, SharePoint REST API"
"SMLC-BizOps","Customer Documents","Created","","Browser console, SharePoint REST API"
"SMLC-Finance","Invoices","Created","","Browser console, SharePoint REST API"
"SMLC-Finance","Payroll","Created","","Browser console, SharePoint REST API"
"SMLC-Finance","Expenses","Created","","Browser console, SharePoint REST API"
"SMLC-Finance","Tax","Created","","Browser console, SharePoint REST API"
"SMLC-Finance","Reports","Created","","Browser console, SharePoint REST API"
"SMLC-Finance","Vendor Payments","Created","","Browser console, SharePoint REST API"
"SMLC-KnowledgeBase","Support Guides","Created","","Browser console, SharePoint REST API"
"SMLC-KnowledgeBase","Troubleshooting","Created","","Browser console, SharePoint REST API"
"SMLC-KnowledgeBase","Known Issues","Created","","Browser console, SharePoint REST API"
"SMLC-KnowledgeBase","Internal Procedures","Created","","Browser console, SharePoint REST API"
"SMLC-Policies","Company Policies","Created","","Browser console, SharePoint REST API"
"SMLC-Policies","Security Policies","Created","","Browser console, SharePoint REST API"
"SMLC-Policies","HR Policies","Created","","Browser console, SharePoint REST API"
"SMLC-Policies","IT Policies","Created","","Browser console, SharePoint REST API"
"SMLC-Templates","Forms","Created","","Browser console, SharePoint REST API"
"SMLC-Templates","Letter Templates","Created","","Browser console, SharePoint REST API"
"SMLC-Templates","Report Templates","Created","","Browser console, SharePoint REST API"
"SMLC-Templates","Customer Templates","Created","","Browser console, SharePoint REST API"
