"Team","Channel","Type","Status","Note","Error"
"SMLC - TechOps","Software Support","Standard","AlreadyExisted","",""
"SMLC - TechOps","Field Support","Standard","AlreadyExisted","",""
"SMLC - TechOps","Help Desk","Standard","AlreadyExisted","",""
"SMLC - TechOps","Customer Issues","Standard","AlreadyExisted","",""
"SMLC - TechOps","Knowledge Base","Standard","AlreadyExisted","",""
"SMLC - TechOps","Escalations","Standard","AlreadyExisted","",""
"SMLC - BizOps","Sales Leads","Standard","AlreadyExisted","",""
"SMLC - BizOps","Marketing","Standard","AlreadyExisted","",""
"SMLC - BizOps","Customer Requests","Standard","AlreadyExisted","",""
"SMLC - BizOps","Reports","Standard","AlreadyExisted","",""
"SMLC - Knowledge Base","Support Guides","Standard","AlreadyExisted","",""
"SMLC - Knowledge Base","Troubleshooting","Standard","AlreadyExisted","",""
"SMLC - Knowledge Base","Known Issues","Standard","AlreadyExisted","",""
"SMLC - Knowledge Base","Internal Procedures","Standard","AlreadyExisted","",""
"SMLC - HQ","Announcements","Standard","AlreadyExisted","",""
"SMLC - HQ","Company Policies","Standard","AlreadyExisted","",""
"SMLC - HQ","Company Forms","Standard","Created","",""
"SMLC - HQ","Templates","Standard","AlreadyExisted","",""
"SMLC - Branch","Branch Operations","Standard","AlreadyExisted","",""
"SMLC - Branch","Field Visits","Standard","AlreadyExisted","",""
"SMLC - Branch","Customer Issues","Standard","AlreadyExisted","",""
"SMLC - Branch","Branch Reports","Standard","AlreadyExisted","",""
"SMLC - MgmtAdmin","Company Planning","Standard","AlreadyExisted","",""
"SMLC - MgmtAdmin","HR Internal","Private","AlreadyExisted","2 private channel members added",""
"SMLC - MgmtAdmin","Policies","Standard","AlreadyExisted","",""
"SMLC - MgmtAdmin","Announcements","Standard","AlreadyExisted","",""
"SMLC - Finance","Invoices","Standard","AlreadyExisted","",""
"SMLC - Finance","Expenses","Standard","AlreadyExisted","",""
"SMLC - Finance","Payroll","Private","AlreadyExisted","3 private channel members added",""
"SMLC - Finance","Compliance","Private","AlreadyExisted","3 private channel members added",""
"SMLC - ITInfra","Network","Standard","AlreadyExisted","",""
"SMLC - ITInfra","Servers","Standard","AlreadyExisted","",""
"SMLC - ITInfra","Microsoft 365 Admin","Standard","AlreadyExisted","",""
"SMLC - ITInfra","Security","Standard","AlreadyExisted","",""
"SMLC - ITInfra","Backup","Standard","AlreadyExisted","",""
"SMLC - ITInfra","Monitoring","Standard","AlreadyExisted","",""
"SMLC - ITInfra","Change Requests","Standard","AlreadyExisted","",""
