"DisplayName","PrimarySmtpAddress","RequireSenderAuthenticationEnabled","AcceptMessagesOnlyFrom"
"All Staff","allstaff@samstack.onmicrosoft.com","True","SMLC-MgmtAdmin_65557ae6-43ca-4e43-b410-82fe4909e377"
"Branch Staff","branch@samstack.onmicrosoft.com","True",""
"Finance","finance-team@samstack.onmicrosoft.com","True","SMLC-MgmtAdmin_65557ae6-43ca-4e43-b410-82fe4909e377"
"HR","hr-team@samstack.onmicrosoft.com","True","SMLC-MgmtAdmin_65557ae6-43ca-4e43-b410-82fe4909e377"
"IT","it@samstack.onmicrosoft.com","True",""
"Management","management@samstack.onmicrosoft.com","True","SMLC-MgmtAdmin_65557ae6-43ca-4e43-b410-82fe4909e377"
"Sales","sales-team@samstack.onmicrosoft.com","True",""
"Security","security-team@samstack.onmicrosoft.com","True","SMLC-MgmtAdmin_65557ae6-43ca-4e43-b410-82fe4909e377"
"SMLC Help Desk Team","helpdesk-team@samstack.onmicrosoft.com","True",""
"Support","support-team@samstack.onmicrosoft.com","True",""
