"DisplayName","Mail","GroupTypes","SecurityEnabled"
"SMLC - BizOps","SMLC-BizOps@samstack.onmicrosoft.com","System.String[]","False"
"Support","support-team@samstack.onmicrosoft.com","System.String[]","False"
"SMLC Help Desk Team","helpdesk-team@samstack.onmicrosoft.com","System.String[]","False"
"SMLC - HQ","SMLC-HQ-Staff@samstack.onmicrosoft.com","System.String[]","False"
"All Staff","allstaff@samstack.onmicrosoft.com","System.String[]","False"
"Branch Staff","branch@samstack.onmicrosoft.com","System.String[]","False"
"SG-SMLC-HQ-Staff",,"System.String[]","True"
"SMLC-Support","SMLC-Support@samstack.onmicrosoft.com","System.String[]","False"
"SG-SMLC-Finance-Private",,"System.String[]","True"
"SMLC - TechOps","SMLC-TechOps@samstack.onmicrosoft.com","System.String[]","False"
"SMLC-Admins","SMLC-Admins@samstack.onmicrosoft.com","System.String[]","False"
"All Company","allcompany@samstack.onmicrosoft.com","System.String[]","False"
"Management","management@samstack.onmicrosoft.com","System.String[]","False"
"SMLC - MgmtAdmin","SMLC-MgmtAdmin@samstack.onmicrosoft.com","System.String[]","False"
"IT","it@samstack.onmicrosoft.com","System.String[]","False"
"Security","security-team@samstack.onmicrosoft.com","System.String[]","False"
"HR","hr-team@samstack.onmicrosoft.com","System.String[]","False"
"SG-SMLC-ITInfra-Private",,"System.String[]","True"
"SG-SMLC-TechOps-Tools",,"System.String[]","True"
"SG-SMLC-M365-Admins",,"System.String[]","True"
"SMLC - Finance","SMLC-Finance@samstack.onmicrosoft.com","System.String[]","False"
"SMLC-All-Staff","SMLC-All-Staff@samstack.onmicrosoft.com","System.String[]","False"
"SMLC-FieldOps","SMLC-FieldOps@samstack.onmicrosoft.com","System.String[]","False"
"SMLC - ITInfra","SMLC-ITInfra@samstack.onmicrosoft.com","System.String[]","False"
"SG-SMLC-BR-Staff",,"System.String[]","True"
"SG-SMLC-FieldOps-RemoteAccess",,"System.String[]","True"
"SG-SMLC-SharePoint-Owners",,"System.String[]","True"
"SG-SMLC-HR-Private",,"System.String[]","True"
"Sales","sales-team@samstack.onmicrosoft.com","System.String[]","False"
"Finance","finance-team@samstack.onmicrosoft.com","System.String[]","False"
"SMLC - Knowledge Base","msteams_aabb57@samstack.onmicrosoft.com","System.String[]","False"
"SMLC-HelpDesk","SMLC-HelpDesk@samstack.onmicrosoft.com","System.String[]","False"
"Nackademin","Nackademin@samstack.onmicrosoft.com","System.String[]","False"
"SMLC - Branch","SMLC-BR-Staff@samstack.onmicrosoft.com","System.String[]","False"
