"Id","Issues","Service","Status","AdditionalProperties"
"Exchange",,"Exchange Online","serviceDegradation","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"OrgLiveID",,"Microsoft Entra","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"OSDPPlatform",,"Microsoft 365 suite","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"SharePoint",,"SharePoint Online","serviceDegradation","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"MobileDeviceManagement",,"Basic Mobility and Security","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"Planner",,"Planner","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"SwayEnterprise",,"Sway","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"OneDriveForBusiness",,"Microsoft OneDrive","serviceDegradation","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"microsoftteams",,"Microsoft Teams","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"Bookings",,"Microsoft Bookings","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"officeonline",,"Microsoft 365 for the web","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"O365Client",,"Microsoft 365 apps","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"PowerAppsM365",,"Power Apps in Microsoft 365","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"MicrosoftFlowM365",,"Microsoft Power Automate in Microsoft 365","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"Forms",,"Microsoft Forms","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"ProjectForTheWeb",,"Project for the web","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"Stream",,"Microsoft Stream","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"Viva",,"Microsoft Viva","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"Purview",,"Microsoft Purview","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"CopilotChat",,"Microsoft 365 Copilot Chat","serviceOperational","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
