Site,Owners,Members,Visitors
"All-Company","c:0o.c|federateddirectoryclaimprovider|5d7ff20d-9b81-4974-9db1-e74840097ede_o;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|5d7ff20d-9b81-4974-9db1-e74840097ede;c:0-.f|rolemanager|spo-grid-all-users/04b3fb6f-c6b0-4281-a7b1-73eb33da990c",""
"SMLC-Knowledge-Base","c:0o.c|federateddirectoryclaimprovider|d810bf65-e843-4146-96b6-08e677b90f29_o;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|ade867ac-9b9d-4bbb-98cb-64c2400e7e48;c:0o.c|federateddirectoryclaimprovider|d810bf65-e843-4146-96b6-08e677b90f29;c:0o.c|federateddirectoryclaimprovider|4bad8c91-0e72-4d12-9f1f-804d44b82381","c:0o.c|federateddirectoryclaimprovider|a1f1ba96-2a4f-477a-adec-1c1946b0f961"
"Nackademin","c:0o.c|federateddirectoryclaimprovider|eecef15a-9642-4ac7-a74c-bbe95634db48_o;SHAREPOINT\system","c:0-.f|rolemanager|spo-grid-all-users/04b3fb6f-c6b0-4281-a7b1-73eb33da990c;c:0o.c|federateddirectoryclaimprovider|eecef15a-9642-4ac7-a74c-bbe95634db48",""
"SMLC-Admins","c:0o.c|federateddirectoryclaimprovider|512c988b-78bd-4b1f-a1c7-1840ccfd2559_o;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|512c988b-78bd-4b1f-a1c7-1840ccfd2559",""
"SMLC-All-Staff","c:0o.c|federateddirectoryclaimprovider|a1f1ba96-2a4f-477a-adec-1c1946b0f961_o;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|a1f1ba96-2a4f-477a-adec-1c1946b0f961",""
"SMLC-BizOps","c:0o.c|federateddirectoryclaimprovider|07866b3d-b9e4-46bc-a1b3-fec3fdc3c816_o;c:0o.c|federateddirectoryclaimprovider|65557ae6-43ca-4e43-b410-82fe4909e377;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|07866b3d-b9e4-46bc-a1b3-fec3fdc3c816",""
"SMLC-BR-Staff","c:0o.c|federateddirectoryclaimprovider|fbd8779c-a170-4319-8ffe-2225f563fa27_o;c:0o.c|federateddirectoryclaimprovider|ade867ac-9b9d-4bbb-98cb-64c2400e7e48;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|fbd8779c-a170-4319-8ffe-2225f563fa27","c:0o.c|federateddirectoryclaimprovider|65557ae6-43ca-4e43-b410-82fe4909e377"
"SMLC-FieldOps","c:0o.c|federateddirectoryclaimprovider|ab22e39b-6f25-4c7a-b80c-2bdfd2366f20_o;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|ab22e39b-6f25-4c7a-b80c-2bdfd2366f20",""
"SMLC-Finance","c:0o.c|federateddirectoryclaimprovider|a076eb16-9fd9-4a86-ba46-6eeae591b588_o;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|a076eb16-9fd9-4a86-ba46-6eeae591b588",""
"SMLC-HelpDesk","c:0o.c|federateddirectoryclaimprovider|e3455151-19b0-4fa4-b781-00767a066c69_o;SHAREPOINT\system","c:0o.c|federateddirectoryclaimprovider|e3455151-19b0-4fa4-b781-00767a066c69",""
